id,nama,kategori,zona,strategi,claim_rating,claim_reviews,actual_rating,actual_reviews,kota_maps,alamat_maps,verdict,flags
171,Yunas Studio Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,140,5,914,Sukabumi Kota,"Jl. Lkr. Sel., Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_140_AKTUAL_914
172,Moophoto Photobooth Studio Baros Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,175,5,10,Sukabumi Kota,"Jl. Jembatan Merah No.15, RT.4/RW.12, Limusnunggal, Kec. Cibeureum, Kota Sukabumi, Jawa Barat 43165",LOW_CONFIDENCE_MATCH,REVIEW_CLAIM_175_AKTUAL_10|GENERIC_QUERY_RESULT
173,Fauna photography Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,110,5,10,Sukabumi Kota,"3WWV+6PQ, Jl. Mayor Mahmud, Cisarua, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43151",LOW_CONFIDENCE_MATCH,ZONE_FALLBACK|REVIEW_CLAIM_110_AKTUAL_10|GENERIC_QUERY_RESULT
174,Lawa Creative Studio Sukabumi,Event,Zona 1 (Baros/Jalur),HIGH_LOW_REV,5,85,5,14,Sukabumi Kota,"Jl. A. Yani No.30, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_85_AKTUAL_14
175,Milkyverse Ramayana Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4,520,4,32,Sukabumi Kota,"3WFH+PMC, Jl. Tipar Gede, Tipar, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43141",REVIEW_OFF,REVIEW_CLAIM_520_AKTUAL_32
176,Dinopark Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.1,845,4.1,64,Sukabumi Kota,"3WHH+8CJ, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,REVIEW_CLAIM_845_AKTUAL_64
177,SantaSea Water Theme Park Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.2,4100,4.2,3804,Sukabumi Kota,"Jl. Sudajaya Hilir, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",OK,
178,Story Land Sukabumi,Tourism,Zona 1 (Baros/Jalur),UNDER_5,4.4,1250,4.4,27,Sukabumi Kota,"3WHM+FW9, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_1250_AKTUAL_27
179,Sport Garden Sukabumi,Tourism,Zona 1 (Baros/Jalur),UNDER_5,4.4,980,4.4,1186,Sukabumi Kota,"Jl. Pelabuhan II No.123, Cipanengah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43131",OK,ZONE_FALLBACK
180,Ryzzy Azzahra Waterpark Sukabumi,Tourism,Zona 5 (Timur/Utara),UNDER_5,4.4,3420,4.4,3104,Sukabumi Kab,"Jl. Selabintana No.5, Warnasari, Kab. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151",OK,
181,Kolam Renang Pilar Mas Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.5,1150,4.5,369,Sukabumi Kota,"Baros, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",REVIEW_OFF,REVIEW_CLAIM_1150_AKTUAL_369
182,CAMPING GROUND BATUTAPAK Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.5,890,4.5,835,Lainnya/Tidak jelas,Pondok Omahku Cidahu,LOW_CONFIDENCE_MATCH,GENERIC_QUERY_RESULT
183,De' Tani Waterpark Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.6,2100,4.6,429,Sukabumi Kab,"4X85+685, Sukamekar, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat 43192",REVIEW_OFF,REVIEW_CLAIM_2100_AKTUAL_429
184,Happy House Playground&cafe Sukabumi,Tourism,Zona 1 (Baros/Jalur),UNDER_5,4.6,640,4.6,27,Sukabumi Kab,"Jl. Surya Kencana No.98, Selabatu, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43114",REVIEW_OFF,ZONE_FALLBACK|REVIEW_CLAIM_640_AKTUAL_27
185,Kids story cibadak,Tourism,Zona 2 (Cisaat/Cibadak),UNDER_5,4.6,410,4.6,59,Sukabumi Kab,"Pasar terminal, Cibadak, Kec. Cibadak, Kabupaten Sukabumi, Jawa Barat 43351",REVIEW_OFF,REVIEW_CLAIM_410_AKTUAL_59
186,Cidahu Camping Ground,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.6,1850,4.6,1806,Lainnya/Tidak jelas,Cidahu Camping Ground,LOW_CONFIDENCE_MATCH,GENERIC_QUERY_RESULT
187,CAMPING GROUND SITUGUNUNG,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.6,1220,4.6,3206,Lainnya/Tidak jelas,Bumi perkemahan · Jl. Kadudampit,LOW_CONFIDENCE_MATCH,REVIEW_CLAIM_1220_AKTUAL_3206|GENERIC_QUERY_RESULT
188,Tanakita 5 Star Camp Sukabumi,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.7,2340,4.7,1242,Sukabumi Kab,"Situgunung Jl. Kadudampit No.KM.10, Gede Pangrango, Kec. Kadudampit, Kabupaten Sukabumi, Jawa Barat 43153",OK,
189,Cidahu Camping Ground Lembah Damar,Tourism,Zona 6 (Ekspedisi Wisata),UNDER_5,4.7,950,4.7,556,Lainnya/Tidak jelas,Cidahu Camping Ground Lembah Damar,LOW_CONFIDENCE_MATCH,GENERIC_QUERY_RESULT
